year;jounral;title;url
2020;Optics Express 28 (5)_ 6490-6504;Intensity dependence in nonsequential double ionization of helium;https://opg.optica.org/viewmedia.cfm?uri=oe-28-5-6490&seq=0&html=true
2020;APS Annual Gaseous Electronics Meeting Abstracts_ XF1. 001;Atomic and Molecular Collision Data for Plasma Science;
2020;Journal of Physics: Conference Series 1412 (15)_ 152045;Differential cross sections for ionisation of helium by proton impact;https://iopscience.iop.org/article/10.1088/1742-6596/1412/15/152045/pdf
2020;Journal of Physics: Conference Series 1412 (16)_ 162015;Convergent close-coupling approach to proton collisions with helium;https://iopscience.iop.org/article/10.1088/1742-6596/1412/16/162015/pdf
2020;Journal of Physics: Conference Series 1412 (11)_ 112002;Two-color VUV+ IR multiphoton ionization of the He+ ion by circularly polarized light in the region of the 3p excited state;
2020;Journal of Physics: Conference Series 1412 (10)_ 102005;Benchmark calculations for photoionization of neutral iron;https://iopscience.iop.org/article/10.1088/1742-6596/1412/10/102005/pdf
2020;APS Division of Atomic_ Molecular and Optical Physics Meeting Abstracts 2020 …;Observation of dynamic Stark resonances in strong-field excitation;
2020;APS Division of Atomic_ Molecular and Optical Physics Meeting Abstracts 2020 …;Two-color few-photon ionization of helium: comparison of theory and experiment.;
2020;APS Division of Atomic_ Molecular and Optical Physics Meeting Abstracts 2020 …;Dichroism in ionization of oriented Li (2p) atoms by circularly polarized laser radiation.;
2020;APS Division of Atomic_ Molecular and Optical Physics Meeting Abstracts 2020 …;A multicolor interferometric method for extracting phase information on continuum-continuum couplings.;
2020;APS Division of Atomic_ Molecular and Optical Physics Meeting Abstracts 2020 …;A combined B-spline R-matrix approach for the study of time-dependent multielectron dynamics in complex atoms.;
2020;APS Division of Atomic_ Molecular and Optical Physics Meeting Abstracts 2020 …;Sideband oscillations in four-photon RABBIFT scans.;
2020;APS Division of Atomic_ Molecular and Optical Physics Meeting Abstracts 2020 …;Ellipticity dependence of frustrated tunneling ionization in argon atoms.;
2020;Journal of Physics: Conference Series 1412 (9)_ 092007;Frustrated tunnel ionization of argon by intense few-cycle infrared laser radiation;https://iopscience.iop.org/article/10.1088/1742-6596/1412/9/092007/pdf
2020;Journal of Physics: Conference Series 1412 (14)_ 142009;On the effect of cascade transitions after electron-impact excitation of Zn by spin-polarized electrons;https://iopscience.iop.org/article/10.1088/1742-6596/1412/14/142009/pdf
2019;Physical Review A 100 (6)_ 062708;Fully differential cross sections for single ionization of helium by energetic protons;https://link.aps.org/accepted/10.1103/PhysRevA.100.062708
2019;Physical Review A 100 (6)_ 063417;Coherent control of the photoelectron angular distribution in ionization of neon by a circularly polarized bichromatic field in the resonance region;https://link.aps.org/accepted/10.1103/PhysRevA.100.063417
2019;Journal of Physics B: Atomic_ Molecular and Optical Physics 53 (1)_ 015204;Cross sections for electron scattering from atomic lead;https://par.nsf.gov/servlets/purl/10127673
2019;Plasma Sources Science and Technology 28 (10)_ 105005;A xenon collisional-radiative model applicable to electric propulsion devices: II. Kinetics of the 6s_ 6p_ and 5d states of atoms and ions in Hall thrusters;https://iopscience.iop.org/article/10.1088/1361-6595/ab30b7/ampdf
2019;Plasma Sources Science and Technology 28 (10)_ 105004;A xenon collisional-radiative model applicable to electric propulsion devices: I. Calculations of electron-impact cross sections for xenon ions by the Dirac B-spline R-matrix …;https://iopscience.iop.org/article/10.1088/1361-6595/ab3125/ampdf
2019;Physical Review A 100 (3)_ 033404;Two-color XUV plus near-IR multiphoton near-threshold ionization of the helium ion by circularly polarized light in the vicinity of the resonance;https://link.aps.org/accepted/10.1103/PhysRevA.100.033404
2019;Journal of Physics B: Atomic_ Molecular and Optical Physics 52 (17)_ 171002;Roadmap on photonic_ electronic and atomic collision physics: II. Electron and antimatter interactions;https://iopscience.iop.org/article/10.1088/1361-6455/ab26e0/meta
2019;Physical Review A 100 (2)_ 023405;Revisiting the recollisional excitation-tunneling process in strong-field nonsequential double ionization of helium;https://link.aps.org/accepted/10.1103/PhysRevA.100.023405
2019;Physical Review A 100 (1)_ 012702;Effect of cascade transitions on the polarization of light emitted after electron-impact excitation of Zn by spin-polarized electrons;https://link.aps.org/accepted/10.1103/PhysRevA.100.012702
2019;VizieR Online Data Catalog_ J/A+ A/627/A177;VizieR Online Data Catalog: Non-LTE analysis of KI in late-type stars (Reggiani+_ 2019);
2019;Astronomy & Astrophysics 627_ A177;Non-LTE analysis of KI in late-type stars;https://www.aanda.org/articles/aa/abs/2019/07/aa35156-19/aa35156-19.html
2019;Physical Review A 99 (5)_ 052706;Wave-packet continuum-discretization approach to proton collisions with helium;https://link.aps.org/accepted/10.1103/PhysRevA.99.052706
2019;APS Division of Atomic_ Molecular and Optical Physics Meeting Abstracts 2019 …;Benchmark calculations for photoionization of neutral iron from the ground and excited states;https://par.nsf.gov/servlets/purl/10087587
2019;APS Division of Atomic_ Molecular and Optical Physics Meeting Abstracts 2019 …;Frustrated tunnel ionization of argon by intense few-cycle infrared laser radiation;
2019;APS Division of Atomic_ Molecular and Optical Physics Meeting Abstracts 2019 …;Effect of cascade transitions after electron-impact excitation of Zn by spin-polarized electrons.;
2019;APS Division of Atomic_ Molecular and Optical Physics Meeting Abstracts 2019 …;Electron Collisions with Atoms and Ions: Current Status and Future Prospects;
2019;APS Division of Atomic_ Molecular and Optical Physics Meeting Abstracts 2019 …;Attoclock setup with negative ions: A possibility for experimental validation.;
2019;Atomic data and nuclear data tables 127_ 1-21;Recommended electron-impact excitation and ionization cross sections for Be I;https://www.sciencedirect.com/science/article/am/pii/S0092640X18300652
2019;Physical Review A 99 (4)_ 043408;Pulse-duration dependence of the double-to-single ionization ratio of Ne by intense 780-nm and 800-nm laser fields: Comparison of simulations with experiments;https://link.aps.org/accepted/10.1103/PhysRevA.99.043408
2019;Nature 568 (7750)_ 75-77;Attosecond angular streaking and tunnelling time in atomic hydrogen;https://arxiv.org/pdf/1707.05445.pdf%20http://arxiv.org/abs/1707.05445
2019;Physical Review A 99 (2)_ 023430;Photoionization of neutral iron from the ground and excited states;https://link.aps.org/accepted/10.1103/PhysRevA.99.023430
2019;Physical Review A 99 (2)_ 023417;Attoclock setup with negative ions: A possibility for experimental validation;https://link.aps.org/accepted/10.1103/PhysRevA.99.023417
2019;Physical Review A 99 (2)_ 023410;Extracting phase information on continuum-continuum couplings;https://link.aps.org/accepted/10.1103/PhysRevA.99.023410
2019;Physical Review A 99 (1)_ 012706;Electron-impact excitation and ionization of atomic calcium at intermediate energies;https://link.aps.org/accepted/10.1103/PhysRevA.99.012706
2019;APS Annual Gaseous Electronics Meeting Abstracts_ FT1. 034;Using a collisional-radiative model to validate e-Xe+ cross sections calculated by the Dirac B-spline R-matrix approach;
2019;APS Annual Gaseous Electronics Meeting Abstracts_ MW1. 002;Electron capture and ionization in proton collisions with helium;
2019;APS Annual Gaseous Electronics Meeting Abstracts_ MW1. 020;A comprehensive collisional-radiative model for Xe+ and Xe excited species;
2019;APS Annual Gaseous Electronics Meeting Abstracts_ LW1. 001;Electron Scattering from Complex Atoms and Ions: Current Status and Future Prospects.;
2018;The Astrophysical Journal 867 (1)_ 63;Electron Scattering from Neutral Fe and Low-energy Photodetachment of Fe−;https://iopscience.iop.org/article/10.3847/1538-4357/aaddfa/pdf
2018;Journal of Physics B: Atomic_ Molecular and Optical Physics 51 (13)_ 132001;Electron collisions—experiment_ theory_ and applications;
2018;Physical Review A 97 (5)_ 052710;Out-of-plane () measurements and calculations on He autoionizing levels as a function of incident-electron energy;https://link.aps.org/accepted/10.1103/PhysRevA.97.052710
2018;Scientific reports 8 (1)_ 7774;Coherent control schemes for the photoionization of neon and helium in the Extreme Ultraviolet spectral region;https://www.nature.com/articles/s41598-018-25833-7
2018;APS Division of Atomic_ Molecular and Optical Physics Meeting Abstracts 2018 …;B-spline R-matrix with pseudo-states calculations for electron-impact excitation and ionization of calcium;
2018;APS Division of Atomic_ Molecular and Optical Physics Meeting Abstracts 2018 …;Comparing the performance of time-dependent-Schrödinger-equation solvers for the 800-nm_ one-electron-atom_ strong-field problem;
2018;APS Division of Atomic_ Molecular and Optical Physics Meeting Abstracts 2018 …;Electron-impact excitation cross sections for Fe I;
