year;jounral;title;url
2017;Physical Review A 95 (4), 042709;Calculations for electron-impact excitation of;https://link.aps.org/accepted/10.1103/PhysRevA.95.042709
2017;APS Division of Atomic, Molecular and Optical Physics Meeting Abstracts 2017 …;Comprehensive out-of-plane (e, 2 e) measurements on He autoionizing levels;
2017;APS Division of Atomic, Molecular and Optical Physics Meeting Abstracts 2017 …;B-spline R-matrix calculations for electron-impact excitation of N3+;
2017;Journal of Physics B: Atomic, Molecular and Optical Physics 50 (6), 065203;Electron impact excitation of N3+ using the B-spline R-matrix method: Importance of the target structure description and the size of the close-coupling expansion;https://iopscience.iop.org/article/10.1088/1361-6455/aa5fc4/ampdf
2017;Plasma Processes and Polymers 14 (1-2), 1600093;Quantum‐mechanical calculations of cross sections for electron collisions with atoms and molecules;https://arxiv.org/pdf/1610.06224
2017;Plasma Processes and Polymers 14 (1-2), 1600098;Lxcat: An open‐access, web‐based platform for data needed for modeling low temperature plasmas;https://onlinelibrary.wiley.com/doi/pdfdirect/10.1002/ppap.201600098
2016;Journal of Physics B: Atomic, Molecular and Optical Physics 49 (23), 235701;Calculations for electron-impact excitation and ionization of beryllium;https://iopscience.iop.org/article/10.1088/0953-4075/49/23/235701/ampdf
2016;arXiv preprint arXiv:1611.04657;Electron impact excitation of N3+ using the B-spline R-matrix method: Limitations due to the target structure description and the size of the close-coupling expansion.;https://www.researchgate.net/profile/Oleg-Zatsarinny/publication/310329190_Electron_impact_excitation_of_N3_using_the_B-spline_R-matrix_method_Limitations_due_to_the_target_structure_description_and_the_size_of_the_close-coupling_expansion/links/5cf41b3ea6fdcc8475001346/Electron-impact-excitation-of-N3-using-the-B-spline-R-matrix-method-Limitations-due-to-the-target-structure-description-and-the-size-of-the-close-coupling-expansion.pdf
2016;Physical Review A 94 (4), 042707;B-spline R-matrix-with-pseudostates approach for excitation and ionization of atomic oxygen by electron collisions;https://link.aps.org/accepted/10.1103/PhysRevA.94.042707
2016;Physical Review A 94 (3), 033422;Continuous spectra of atomic hydrogen in a strong magnetic field;https://link.aps.org/accepted/10.1103/PhysRevA.94.033422
2016;APS Annual Gaseous Electronics Meeting Abstracts, UF1. 005;Benchmark calculations for electron-impact excitation and ionization of beryllium;
2016;Physical Review A 94 (2), 023402;Low-energy photodetachment of Ga− and elastic electron scattering from neutral Ga;https://link.aps.org/accepted/10.1103/PhysRevA.94.023402
2016;Physical Review A 93 (5), 052715;Electron-impact excitation and ionization of atomic boron at low and intermediate energies;https://link.aps.org/accepted/10.1103/PhysRevA.93.052715
2016;APS Division of Atomic, Molecular and Optical Physics Meeting Abstracts 2016 …;Electron Impact Excitation and Ionization of Atomic Oxygen;
2016;Computer Physics Communications 202, 287-303;DBSR_HF: a B-spline Dirac–Hartree–Fock program;https://www.sciencedirect.com/science/article/am/pii/S0010465516000047
2016;The European Physical Journal D 70, 1-7;Low-energy outer-shell photodetachment of the negative ion of boron;https://link.springer.com/content/pdf/10.1140/epjd/e2016-70017-9.pdf
2016;Journal of Physics B: Atomic, Molecular and Optical Physics 49 (7), 074003;The virtual atomic and molecular data centre (VAMDC) consortium;https://iopscience.iop.org/article/10.1088/0953-4075/49/7/074003/meta
2016;VizieR Online Data Catalog, J/ApJ/812/174;VizieR Online Data Catalog: Collision strengths in FeIX (Tayal+, 2015);
2016;Physical Review A 93 (1), 012712;Nonperturbative B-spline R-matrix-with-pseudostates calculations for electron-impact ionization-excitation of helium to the n= 3 states of He+;https://link.aps.org/accepted/10.1103/PhysRevA.93.012712
2015;Physical Review A 92 (6), 063427;Numerical simulation of the double-to-single ionization ratio for the helium atom in strong laser fields;https://link.aps.org/accepted/10.1103/PhysRevA.92.063427
2015;Physical Review A 92 (5), 052707;Propensity for distinguishing two free electrons with equal energies in electron-impact ionization of helium;https://link.aps.org/accepted/10.1103/PhysRevA.92.052707
2015;Physical Review A 92 (5), 052701;B-spline R-matrix-with-pseudostates calculations for electron collisions with aluminum;https://link.aps.org/accepted/10.1103/PhysRevA.92.052701
2015;The Astrophysical Journal 812 (2), 174;Thermally averaged collision strengths for extreme-ultraviolet line of Fe IX;https://iopscience.iop.org/article/10.1088/0004-637X/812/2/174/pdf
2015;APS Annual Gaseous Electronics Meeting Abstracts, OR4. 004;Non-perturbative B-spline R-matrix with pseudo-states calculations for electron-impact excitation-ionization of helium to the n = 3 states of He+;
2015;APS Annual Gaseous Electronics Meeting Abstracts, PR4. 003;Coherence parameter measurements for neon and hydrogen;
